Gen,total_rating,scale_correctness_rating,zipfs_law_distance_pitches,zipfs_law_distance_intervals,neighbour_pitch_rating,melody_direction_rating,direction_stability_rating,unique_pitches_rating,bindings_rating,measures_rating,types_distance_rating,semitones_distance_rating,pitches_distance_rating,duration_distance_rating,offsets_distance_rating,absolute_rhythm_rating,absolute_types_rating,types_distr_rating,interval_distr_distance_rating,element_count_rating
1964,17.49382028,0.041666667,0.622909334,0.231812637,0.010526316,0.020510038,0.020510038,0.011462451,0.9375,0,1.120407023,2.239044775,1.481520257,3.004178921,1.017770228,2.9,0.8,0.526100162,1.640132837,0.867768595
1965,16.57847153,0.041666667,0.296215577,0.265080267,0.010526316,0.031036354,0.031036354,0.011004785,0.520833333,0,1.11204792,2.220860784,1.449459325,3.001040186,1.017770228,2.8,0.8,0.406442043,1.695682802,0.867768595
1966,15.82425605,0.041666667,0.045498883,0.036090257,0,0.04156267,0.009983722,0.01539075,0.3125,0,1.11204792,2.198355386,1.454403196,2.995660308,1.017770228,2.8,0.8,0.406442043,1.669115427,0.867768595
1967,16.01254213,0.041666667,0.12661992,0.036090257,0,0.04156267,0.009983722,0.01539075,0.416666667,0,1.11204792,2.198813117,1.464390456,2.98821369,1.017770228,2.8,0.8,0.406442043,1.669115427,0.867768595
1968,15.99166479,0.041666667,0.018249412,0.036090257,0,0.04156267,0.009983722,0.01539075,0.416666667,0,1.11204792,2.22612087,1.478643189,3.034146372,1.017770228,2.8,0.8,0.406442043,1.669115427,0.867768595
1969,15.82620217,0.041666667,0.045498883,0.036090257,0,0.04156267,0.009983722,0.01539075,0.3125,0,1.11204792,2.198355386,1.454403196,2.997606424,1.017770228,2.8,0.8,0.406442043,1.669115427,0.867768595
1970,17.70078845,0.041666667,0.140577395,0.02534319,0,0.052088985,0.000542594,0.01539075,1.145833333,0.78125,1.036169336,2.207442451,1.483803611,3.036713598,1.012070799,2.9,0.8,0.406919737,1.747207407,0.867768595
1971,17.51039744,0.0625,0.169029319,0.761947626,0.010526316,0.052088985,0.000542594,0.01539075,0.729166667,0,1.11204792,2.278749328,1.489617176,3.046933671,1.017770228,2.9,0.8,0.406442043,1.78987622,0.867768595
1972,16.25616417,0.041666667,0.044977476,0.076549667,0,0.052088985,0.000542594,0.01539075,0.416666667,0,1.11204792,2.230431169,1.481822394,3.083837594,1.017770228,2.9,0.8,0.406442043,1.708161417,0.867768595
1973,15.81283051,0.041666667,0.045498883,0.036090257,0,0.04156267,0.009983722,0.01539075,0.3125,0,1.11204792,2.198355386,1.454403196,2.984234762,1.017770228,2.8,0.8,0.406442043,1.669115427,0.867768595
1974,16.53836225,0.041666667,0.286273681,0.034822473,0,0.052088985,0.000542594,0.01539075,0.520833333,0,1.11204792,2.235001312,1.507962667,3.070635574,1.017770228,2.9,0.8,0.406442043,1.669115427,0.867768595
1975,17.77360117,0.0625,0.08160986,0.264600396,0.021052632,0.052088985,0.000542594,0.010539019,1.145833333,0,1.207478192,2.316373508,1.555737533,2.998932733,1.067426602,2.9,0.8,0.488743232,1.932373956,0.867768595
1976,17.41337594,0.0625,0.352731233,0.385466603,0.021052632,0.052088985,0.000542594,0.010539019,0.625,0,1.127934614,2.314156806,1.524144449,3.080128868,1.017770228,2.8,0.8,0.387652751,1.983898561,0.867768595
1977,17.04010037,0.0625,0.013838392,0.02623541,0,0.052088985,0.000542594,0.015810277,0.416666667,0.78125,1.143831495,2.302818139,1.475002289,3.09234104,1.033236891,2.8,0.8,0.526100162,1.630069437,0.867768595
1978,16.33632524,0.041666667,0.336931857,0.034822473,0,0.052088985,0.000542594,0.01539075,0.416666667,0,1.11204792,2.202488992,1.483722674,3.078859371,1.017770228,2.8,0.8,0.406442043,1.669115427,0.867768595
1979,16.24663196,0.0625,0.213931074,0.110104075,0,0.04156267,0.009983722,0.01539075,0.416666667,0,1.11204792,2.229417119,1.473164276,3.078859371,1.017770228,2.8,0.8,0.406442043,1.591023448,0.867768595
1980,17.97282368,0.042553191,0.558515235,0.224602957,0,0.052654916,0.001108525,0.014529221,1.145833333,0,1.211520848,2.200359095,1.54132201,3.101879732,1.142037793,2.8,0.9,0.453675511,1.631818088,0.950413223
